Origen,Destino,Paradas
Calle 100,Calle 187,Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Calle 100,Terminal,Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Calle 106,Pepe Sierra,Calle 106-Pepe Sierra
Calle 106,Calle 127,Calle 106-Pepe Sierra-Calle 127
Calle 106,Prado,Calle 106-Pepe Sierra-Calle 127-Prado
Calle 106,Alcala,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala
Calle 106,Calle 142,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142
Calle 106,Calle 146,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146
Calle 106,Mazuren,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren
Calle 106,Toberin,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin
Calle 106,Portal del Norte,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Calle 106,Calle 187,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Calle 106,Terminal,Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Pepe Sierra,Calle 127,Pepe Sierra-Calle 127
Pepe Sierra,Prado,Pepe Sierra-Calle 127-Prado
Pepe Sierra,Alcala,Pepe Sierra-Calle 127-Prado-Alcala
Pepe Sierra,Calle 142,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142
Pepe Sierra,Calle 146,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146
Pepe Sierra,Mazuren,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren
Pepe Sierra,Toberin,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin
Pepe Sierra,Portal del Norte,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Pepe Sierra,Calle 187,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Pepe Sierra,Terminal,Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Calle 127,Prado,Calle 127-Prado
Calle 127,Alcala,Calle 127-Prado-Alcala
Calle 127,Calle 142,Calle 127-Prado-Alcala-Calle 142
Calle 127,Calle 146,Calle 127-Prado-Alcala-Calle 142-Calle 146
Calle 127,Mazuren,Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren
Calle 127,Toberin,Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin
Calle 127,Portal del Norte,Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Calle 127,Calle 187,Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Calle 127,Terminal,Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Prado,Alcala,Prado-Alcala
Prado,Calle 142,Prado-Alcala-Calle 142
Prado,Calle 146,Prado-Alcala-Calle 142-Calle 146
Prado,Mazuren,Prado-Alcala-Calle 142-Calle 146-Mazuren
Prado,Toberin,Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin
Prado,Portal del Norte,Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Prado,Calle 187,Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Prado,Terminal,Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Alcala,Calle 142,Alcala-Calle 142
Alcala,Calle 146,Alcala-Calle 142-Calle 146
Alcala,Mazuren,Alcala-Calle 142-Calle 146-Mazuren
Alcala,Toberin,Alcala-Calle 142-Calle 146-Mazuren-Toberin
Alcala,Portal del Norte,Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Alcala,Calle 187,Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Alcala,Terminal,Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Calle 142,Calle 146,Calle 142-Calle 146
Calle 142,Mazuren,Calle 142-Calle 146-Mazuren
Calle 142,Toberin,Calle 142-Calle 146-Mazuren-Toberin
Calle 142,Portal del Norte,Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Calle 142,Calle 187,Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Calle 142,Terminal,Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Calle 146,Mazuren,Calle 146-Mazuren
Calle 146,Toberin,Calle 146-Mazuren-Toberin
Calle 146,Portal del Norte,Calle 146-Mazuren-Toberin-Portal del Norte
Calle 146,Calle 187,Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Calle 146,Terminal,Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Mazuren,Toberin,Mazuren-Toberin
Mazuren,Portal del Norte,Mazuren-Toberin-Portal del Norte
Mazuren,Calle 187,Mazuren-Toberin-Portal del Norte-Calle 187
Mazuren,Terminal,Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Toberin,Portal del Norte,Toberin-Portal del Norte
Toberin,Calle 187,Toberin-Portal del Norte-Calle 187
Toberin,Terminal,Toberin-Portal del Norte-Calle 187-Terminal
Portal del Norte,Calle 187,Portal del Norte-Calle 187
Portal del Norte,Terminal,Portal del Norte-Calle 187-Terminal
Calle 187,Terminal,Calle 187-Terminal
Heroes,Calle 76,Heroes-Calle 76
Heroes,Calle 72,Heroes-Calle 76-Calle 72
Heroes,Marly,Heroes-Calle 76-Calle 72-Marly
Heroes,Calle 45,Heroes-Calle 76-Calle 72-Marly-Calle 45
Heroes,AV 39,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39
Heroes,Profamilia,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia
Heroes,Calle 26,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26
Heroes,Calle 19,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19
Heroes,AV Jimenez,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
Heroes,Tercer Milenio,Heroes-Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Calle 76,Calle 72,Calle 76-Calle 72
Calle 76,Marly,Calle 76-Calle 72-Marly
Calle 76,Calle 45,Calle 76-Calle 72-Marly-Calle 45
Calle 76,AV 39,Calle 76-Calle 72-Marly-Calle 45-AV 39
Calle 76,Profamilia,Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia
Calle 76,Calle 26,Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26
Calle 76,Calle 19,Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19
Calle 76,AV Jimenez,Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
Calle 76,Tercer Milenio,Calle 76-Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Calle 72,Marly,Calle 72-Marly
Calle 72,Calle 45,Calle 72-Marly-Calle 45
Calle 72,AV 39,Calle 72-Marly-Calle 45-AV 39
Calle 72,Profamilia,Calle 72-Marly-Calle 45-AV 39-Profamilia
Calle 72,Calle 26,Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26
Calle 72,Calle 19,Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19
Calle 72,AV Jimenez,Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
Calle 72,Tercer Milenio,Calle 72-Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Marly,Calle 45,Marly-Calle 45
Marly,AV 39,Marly-Calle 45-AV 39
Marly,Profamilia,Marly-Calle 45-AV 39-Profamilia
Marly,Calle 26,Marly-Calle 45-AV 39-Profamilia-Calle 26
Marly,Calle 19,Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19
Marly,AV Jimenez,Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
Marly,Tercer Milenio,Marly-Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Calle 45,AV 39,Calle 45-AV 39
Calle 45,Profamilia,Calle 45-AV 39-Profamilia
Calle 45,Calle 26,Calle 45-AV 39-Profamilia-Calle 26
Calle 45,Calle 19,Calle 45-AV 39-Profamilia-Calle 26-Calle 19
Calle 45,AV Jimenez,Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
Calle 45,Tercer Milenio,Calle 45-AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
AV 39,Profamilia,AV 39-Profamilia
